"window_size","n_datapoints","n_final","baseline","r_squared","min_reliability","max_reliability","zone_95_width","zone_90_width","zone_80_width","zone_70_width"
3,200000,198000,0.894038267571134,1.03300970787077e-05,1.00073893503031,1.01284263836485,5.63315625555087,5.63315625555087,5.63315625555087,5.63315625555087
5,200400,198396,0.7204982143227,1.20263904798137e-06,0.994748894027919,0.99949359751779,5.7250760357389,5.7250760357389,5.7250760357389,5.7250760357389
10,201400,199386,0.567841257911747,4.82165860918714e-05,0.970669471613722,1.00051026601512,5.80709935028038,5.80709935028038,5.80709935028038,5.80709935028038
15,202400,200376,0.501619547923107,0.00014150823666403,0.95428679551459,1.00698469387539,5.81338989429675,5.81338989429675,5.81338989429675,5.81338989429675
20,203400,201366,0.461433885187193,0.000373135813625444,0.931380599809228,1.01273999989506,5.39394062883309,5.812887473791,5.812887473791,5.812887473791
25,204400,202356,0.432439397709827,0.00142082492689164,0.876763105988957,1.01900002724327,4.06057745895884,5.48003433572955,5.81162877005714,5.81162877005714
30,205400,203346,0.410415548759635,0.00350110634673592,0.820527644175643,1.02547881090534,3.36787997858002,4.46142304589098,5.81090172470025,5.81090172470025
40,207400,205326,0.379281441220835,0.011096674350553,0.721965665250536,1.04089215237842,2.74411632355978,3.51735249100353,4.88359684701316,5.80799196448351
50,209400,207306,0.354158441470429,0.0229861780314694,0.637592014207573,1.04819821677522,2.35939832181165,2.97539886888563,4.09117344471774,5.18370271688669
75,214400,212256,0.310708213197384,0.0595941681105376,0.505737145279108,1.05668840630211,1.88087685226324,2.3452908898591,3.19284650847155,4.0171814252042
100,219400,217206,0.281991970231288,0.0884571549845423,0.439549273533937,1.05108800091501,1.6176988925509,2.03516957449951,2.78893608357341,3.5311061848154
