"window_size","n_datapoints","baseline_volatility","x_range_min","x_range_max"
3,1000000,1.23018644620804,-3.29906902720624,3.32456738013447
5,1002000,1.16897456274768,-3.29906902720624,3.32456738013447
10,1007000,1.12338126344233,-3.29906902720624,3.32456738013447
15,1012000,1.10439384950994,-3.29906902720624,3.32456738013447
20,1017000,1.09372148607466,-3.29906902720624,3.32456738013447
25,1022000,1.08593226183967,-3.29906902720624,3.32456738013447
30,1027000,1.08001598062792,-3.29906902720624,3.32456738013447
40,1037000,1.07297499307786,-3.29906902720624,3.32456738013447
50,1047000,1.06958884522743,-3.29906902720624,3.32456738013447
75,1072000,1.06567895500399,-3.29906902720624,3.32456738013447
100,1097000,1.06392431893601,-3.29906902720624,3.32456738013447
